sample	class
GSM1437902	Term
GSM1437903	Term
GSM1437904	Term
GSM1437905	Term
GSM1437906	Term
GSM1437911	Term
GSM1437912	Term
GSM1437913	Term
GSM1437914	Term
GSM1437915	Term
GSM1437916	Term
GSM1437917	Term
GSM1437918	Term
GSM1437919	Term
GSM1437920	Term
GSM1437922	Term
GSM1437923	Term
GSM1437924	Term
GSM1437925	Term
GSM1437928	Term
GSM1437929	Term
GSM1437930	Term
GSM1437931	Term
GSM1437932	Term
GSM1437933	Term
GSM1437934	Term
GSM1437935	Term
GSM1437938	Term
GSM1437939	Term
GSM1437940	Term
GSM1437941	Term
GSM1437947	Term
GSM1437948	Term
GSM1437949	Term
GSM1437950	Term
GSM1437953	Term
GSM1437954	Term
GSM1437955	Term
GSM1437956	Term
GSM1437957	Term
GSM1437958	Term
GSM1437961	Term
GSM1437962	Term
GSM1437963	Term
GSM1437964	Term
GSM1437965	Term
GSM1437966	Term
GSM1437969	Term
GSM1437970	Term
GSM1437971	Term
GSM1437972	Term
GSM1437973	Term
GSM1437974	Term
GSM1437975	Term
GSM1437976	Term
GSM1437981	Term
GSM1437982	Term
GSM1437983	Term
GSM1437984	Term
GSM1437987	Term
GSM1437988	Term
GSM1437989	Term
GSM1437990	Term
GSM1437993	Term
GSM1437994	Term
GSM1437995	Term
GSM1437996	Term
GSM1437997	Term
GSM1437998	Term
GSM1437999	Term
GSM1438000	Term
GSM1438001	Term
GSM1438002	Term
GSM1438003	Term
GSM1438004	Term
GSM1438005	Term
GSM1438006	Term
GSM1438007	Term
GSM1438008	Term
GSM1438009	Term
GSM1438010	Term
GSM1438011	Term
GSM1438012	Term
GSM1438015	Term
GSM1438016	Term
GSM1438017	Term
GSM1438018	Term
GSM1438019	Term
GSM1438020	Term
GSM1438023	Term
GSM1438024	Term
GSM1438029	Term
GSM1438030	Term
GSM1438033	Term
GSM1438034	Term
GSM1438035	Term
GSM1438036	Term
GSM1438037	Term
GSM1438038	Term
GSM1438039	Term
GSM1438040	Term
GSM1438043	Term
GSM1438044	Term
GSM1438063	Term
GSM1438064	Term
GSM1438065	Term
GSM1438066	Term
GSM1438067	Term
GSM1438068	Term
GSM1438069	Term
GSM1438070	Term
GSM1438075	Term
GSM1438076	Term
GSM1438079	Term
GSM1438080	Term
GSM1438083	Term
GSM1438084	Term
GSM1438085	Term
GSM1438086	Term
GSM1438087	Term
GSM1438088	Term
GSM1438089	Term
GSM1438090	Term
GSM1438091	Term
GSM1438092	Term
GSM1438093	Term
GSM1438094	Term
GSM1438097	Term
GSM1438098	Term
GSM1438099	Term
GSM1438100	Term
GSM1438101	Term
GSM1438102	Term
GSM1438103	Term
GSM1438104	Term
GSM1438105	Term
GSM1438106	Term
GSM1438109	Term
GSM1438110	Term
GSM1438111	Term
GSM1438112	Term
GSM1438113	Term
GSM1438114	Term
GSM1438115	Term
GSM1438116	Term
GSM1438117	Term
GSM1438118	Term
